Additional file 4 L-DMR IDOL library ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,chr,start,end,Cell_min,cell_max,cell_mean,Cell_deconv,CD8T,CD4T,NK,Bcell,Mono,Neu,Type,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,Phantom4_Enhancers,Phantom5_Enhancers,DNase_Hypersensitivity_NAME,DNase_Hypersensitivity_Evidence_Count,Methyl27_Loci,Methyl450_Loci,function_group,distance,nearestGeneSymbol,nearestTranscript
cg00484798,chr5,164654519,164654520,0.064618686,0.901092347,0.745966766,Neu,0.901092347,0.890044345,0.891744784,0.898382681,0.829917755,0.064618686,II,rs10476501,0.024138,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,1767375,NUDCD2,uc003lze.3
cg00567930,chr1,2250796,2250797,0.470203707,0.851554389,0.718242199,CD8T,0.470203707,0.657716893,0.818653965,0.678933467,0.851554389,0.832390772,II,NA,NA,NA,NA,NA,NA,chr1:2249315-2249634,S_Shore,,,,,,,TRUE,Intergenic,72416,RER1,uc001aje.2
cg00570498,chr5,156694853,156694854,0.216790627,0.832439989,0.499134878,Mono,0.216790627,0.292221089,0.481416617,0.58536232,0.832439989,0.586578626,II,NA,NA,NA,NA,NA,NA,chr5:156692812-156693749,S_Shore,CYFIP2;CYFIP2;CYFIP2;CYFIP2,,,chr5:156694760-156695395,3,,,TSS1500,77874,FNDC9,uc003lwu.2
cg00581152,chr10,102094610,102094611,0.054612375,0.923825893,0.74977809,Neu,0.908424736,0.900362568,0.906047457,0.923825893,0.80539551,0.054612375,II,rs578702,0.067982,NA,NA,NA,NA,,OpenSea,,,,chr10:102094485-102094710,3,,,Intergenic,12160,SCD,uc001kqy.3
cg00619207,chr1,111743368,111743369,0.060678979,0.845861781,0.267318034,Bcell,0.060678979,0.06249555,0.063243368,0.845861781,0.109589415,0.462039113,II,NA,NA,NA,NA,NA,NA,chr1:111746337-111747303,N_Shelf,DENND2D,,,chr1:111742465-111743675,3,TRUE,TRUE,TSS200,3790,DENND2D,uc001eal.2
cg00661777,chr7,106511741,106511742,0.05242789,0.766565252,0.226432535,Neu,0.164251355,0.248263183,0.061006846,0.05242789,0.066080687,0.766565252,II,NA,NA,NA,NA,NA,NA,chr7:106508057-106508733,S_Shelf,PIK3CG,,,chr7:106511400-106511810,3,,TRUE,Body,5816,PIK3CG,uc003vdw.3
cg00678668,chr14,55221389,55221390,0.592688799,0.94128898,0.867250921,CD4T,0.891383296,0.592688799,0.903289592,0.940670945,0.94128898,0.934183913,II,NA,NA,NA,NA,NA,NA,,OpenSea,SAMD4A;SAMD4A;SAMD4A,,,chr14:55221285-55221730,3,,TRUE,Body,115,SAMD4A,uc001xbg.2
cg00705730,chr2,106438120,106438121,0.042843866,0.936417726,0.777612556,Neu,0.926223437,0.918171599,0.930523436,0.936417726,0.911495273,0.042843866,II,NA,NA,NA,NA,NA,NA,,OpenSea,NCK2;NCK2,,,chr2:106437980-106438170,3,,TRUE,5'UTR,76599,NCK2,uc002tdg.3
cg00819441,chr17,76381937,76381938,0.042106934,0.585166423,0.20305844,NK,0.290534041,0.104170754,0.585166423,0.092184187,0.104188304,0.042106934,II,NA,NA,NA,NA,NA,NA,,OpenSea,PGS1;PGS1;PGS1;PGS1,,,chr17:76381760-76382030,3,,,Body,7201,PGS1,uc002jvm.3
cg00819880,chr11,47175915,47175916,0.30324616,0.83513178,0.646565322,CD8T,0.30324616,0.544183278,0.791105143,0.83513178,0.711477149,0.694248421,II,NA,NA,NA,NA,NA,NA,,OpenSea,C11orf49;C11orf49;C11orf49;C11orf49;C11orf49;C11orf49;C11orf49,,,chr11:47175780-47176110,3,,,Body,19474,ARFGAP2,uc010rha.2
cg00910503,chr17,80393666,80393667,0.48618061,0.976796756,0.881974149,NK,0.976796756,0.968539885,0.48618061,0.918226058,0.972868511,0.969233072,I,NA,NA,NA,NA,NA,NA,chr17:80393470-80393752,Island,HEXDC,,,chr17:80393565-80393715,3,,TRUE,Body,1335,HEXDC,uc010wvn.1
cg00934800,chr20,1806293,1806294,0.098304377,0.943234379,0.781702763,Neu,0.939094261,0.930581418,0.927864464,0.943234379,0.851137677,0.098304377,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr20:1806140-1806535,3,,,Intergenic,45900,LOC100289473,uc021vzr.1
cg00941595,chr7,73507338,73507339,0.06221044,0.78731024,0.263968021,CD4T,0.488533872,0.78731024,0.08024946,0.06601663,0.06221044,0.099487483,II,NA,NA,NA,NA,NA,NA,,OpenSea,LIMK1;LIMK1,,,chr7:73507165-73507915,3,,,TSS200,161398,RFC2,uc003uaj.3
cg00948513,chr2,122258942,122258943,0.109040821,0.905446994,0.74702238,NK,0.801971501,0.867184226,0.109040821,0.901957752,0.905446994,0.896532988,II,NA,NA,NA,NA,NA,NA,,OpenSea,CLASP1;CLASP1;CLASP1;CLASP1,,,chr2:122258580-122258995,3,,,Body,29512,RNU4ATAC,uc010yzd.1
cg00960440,chr12,719749,719750,0.027600512,0.530423765,0.168407254,CD4T,0.277285765,0.530423765,0.03261266,0.113047288,0.029473531,0.027600512,II,NA,NA,NA,NA,NA,NA,chr12:718174-718505,S_Shore,NINJ2;NINJ2;NINJ2,,,chr12:719425-719895,3,,,TSS200,33051,NINJ2,uc010sdr.2
cg00989306,chr11,129920441,129920442,0.072759616,0.932568249,0.779604559,Mono,0.911183288,0.91836833,0.932568249,0.920943009,0.072759616,0.921804865,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr11:129920255-129920255,chr11:129920180-129920530,3,,,Intergenic,19273,APLP2,uc001qfp.3
cg01012879,chr1,244613363,244613364,0.263210129,0.925185919,0.794459774,Neu,0.87881105,0.875697147,0.900971564,0.925185919,0.922882833,0.263210129,II,NA,NA,NA,NA,NA,NA,chr1:244614522-244615601,N_Shore,ADSS,,,chr1:244613265-244613535,3,,TRUE,Body,97425,C1orf100,uc001iah.4
cg01012950,chr3,45205186,45205187,0.026828494,0.700253684,0.243595923,Neu,0.349237834,0.227086299,0.127218839,0.026828494,0.030950389,0.700253684,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr3:45205005-45205355,3,,,Intergenic,137426,CLEC3B,uc003cok.4
cg01165928,chr7,102082517,102082518,0.054845861,0.938386423,0.784408128,Bcell,0.938386423,0.93128917,0.932504348,0.054845861,0.93149914,0.917923829,II,NA,NA,NA,NA,NA,NA,,OpenSea,ORAI2;ORAI2;ORAI2;ORAI2,,,chr7:102082065-102082590,3,,,5'UTR,8539,ORAI2,uc003uzj.3
cg01219426,chr11,95856658,95856659,0.046531782,0.557806129,0.250286192,Mono,0.046531782,0.25618982,0.055780134,0.159874969,0.557806129,0.425534318,II,NA,NA,NA,NA,NA,NA,,OpenSea,MAML2,,,,,,TRUE,Body,217942,MIR1260B,uc021qoz.1
cg01319874,chr20,46397228,46397229,0.04263373,0.763081085,0.61135575,Mono,0.697707412,0.732761309,0.763081085,0.73872613,0.04263373,0.693224834,II,NA,NA,NA,NA,NA,NA,,OpenSea,SULF2;SULF2;SULF2,,chr20:46396946-46396946,chr20:46397180-46397515,3,,,5'UTR,141481,NCOA3,uc010zyc.2
cg01692842,chr11,134126364,134126365,0.039553201,0.917740571,0.751520878,Neu,0.893224813,0.891656713,0.896231885,0.917740571,0.870718084,0.039553201,II,NA,NA,NA,NA,NA,NA,chr11:134122762-134122981,S_Shelf,ACAD8,,,,,,TRUE,Body,76,ACAD8,uc010scr.1
cg01699630,chr6,131894023,131894024,0.107476813,0.927010475,0.782858769,Neu,0.912109513,0.911301159,0.918431799,0.920822856,0.927010475,0.107476813,II,NA,NA,NA,NA,NA,NA,,OpenSea,ARG1,,,,,,TRUE,TSS1500,322723,AKAP7,uc003qcm.2
cg01760279,chr10,63840121,63840122,0.04010307,0.925495583,0.752582667,Bcell,0.873732169,0.865196205,0.900324692,0.04010307,0.925495583,0.910644285,II,NA,NA,NA,NA,NA,NA,,OpenSea,ARID5B;ARID5B,,,chr10:63839820-63840315,3,,,Body,31150,ARID5B,uc001jlu.2
cg01795081,chr9,139434186,139434187,0.032650552,0.407070761,0.120432147,NK,0.056259385,0.048281786,0.407070761,0.120042753,0.058287643,0.032650552,II,NA,NA,NA,NA,NA,NA,,OpenSea,NOTCH1,,chr9:139434156-139434156,chr9:139434145-139434495,3,,,Body,6050,NOTCH1,uc004chz.3
cg01823975,chr16,84613567,84613568,0.62233241,0.920374117,0.839678252,CD8T,0.62233241,0.799882463,0.893194401,0.887447531,0.920374117,0.914838591,II,NA,NA,NA,NA,NA,NA,,OpenSea,COTL1,,,chr16:84613560-84613950,3,,,Body,75278,TLDC1,uc002fib.3
cg01842756,chr6,125330910,125330911,0.102521529,0.923492545,0.757591696,Mono,0.872066279,0.902283935,0.923492545,0.873772609,0.102521529,0.871413277,II,NA,NA,NA,NA,NA,NA,,OpenSea,RNF217;RNF217;RNF217,,,chr6:125330760-125331055,3,,,Body,143967,TPD52L1,uc003pzu.1
cg01879195,chr18,26728044,26728045,0.0406345,0.609422264,0.227956123,NK,0.261851985,0.261192036,0.609422264,0.148089581,0.0406345,0.046546372,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr18:26727920-26728250,3,,,Intergenic,970598,CDH2,uc002kwg.2
cg01905489,chr1,26616534,26616535,0.119451809,0.460834879,0.245563452,Mono,0.12153947,0.159938639,0.376478452,0.119451809,0.460834879,0.235137464,II,NA,NA,NA,NA,NA,NA,,OpenSea,UBXN11;UBXN11;UBXN11,,chr1:26616527-26616527,chr1:26616085-26617635,3,,TRUE,Body,16659,UBXN11,uc001blw.3
cg01926319,chr1,160642975,160642976,0.036109435,0.555871105,0.199035553,NK,0.215577738,0.070083188,0.555871105,0.095891812,0.036109435,0.220680041,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr1:160642705-160643130,3,,,Intergenic,38664,CD48,uc001fwn.4
cg01926777,chr3,23155655,23155656,0.02791411,0.368398681,0.124147396,NK,0.177207126,0.102922307,0.368398681,0.035497189,0.032944966,0.02791411,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr3:23155325-23155730,3,,,Intergenic,88996,UBE2E2,uc010hfc.2
cg01957768,chr17,65516088,65516089,0.508689918,0.952682521,0.852960149,CD4T,0.852184916,0.508689918,0.933505361,0.938058294,0.952682521,0.932639886,II,NA,NA,NA,NA,NA,NA,,OpenSea,PITPNC1;PITPNC1,,,chr17:65515985-65516270,3,,,Body,197971,NOL11,uc002jgd.1
cg01960300,chr1,145727016,145727017,0.462727922,0.856220866,0.77707927,NK,0.843609728,0.841939297,0.462727922,0.816308352,0.856220866,0.841669455,II,NA,NA,NA,NA,NA,NA,,OpenSea,PDZK1,,,,,,TRUE,TSS1500,11450,CD160,uc001eol.1
cg02015961,chr8,20061515,20061516,0.088797177,0.934785544,0.783424295,Neu,0.934785544,0.929529901,0.915097713,0.932824176,0.89951126,0.088797177,II,rs17092154,0.092949,NA,NA,NA,NA,,OpenSea,ATP6V1B2,,,,,,,Body,6810,ATP6V1B2,uc003wzp.3
cg02020985,chr3,47475621,47475622,0.562243344,0.838757444,0.783290582,NK,0.816010061,0.814987109,0.562243344,0.834468865,0.838757444,0.833276669,II,NA,NA,NA,NA,NA,NA,,OpenSea,SCAP,,,,,,,Body,53129,PTPN23,uc011baw.1
cg02046836,chr11,75550064,75550065,0.457264955,0.90089193,0.793299504,NK,0.857256524,0.824976776,0.457264955,0.869309195,0.90089193,0.850097643,II,NA,NA,NA,NA,NA,NA,,OpenSea,UVRAG,,,,,,,Body,70371,LOC283214,uc001owz.3
cg02099683,chr10,126386947,126386948,0.059065224,0.487942725,0.174716694,Mono,0.078280264,0.081062372,0.059065224,0.139197141,0.487942725,0.202752437,II,NA,NA,NA,NA,NA,NA,,OpenSea,FAM53B,,chr10:126386863-126386863,chr10:126386045-126387135,3,,,Body,45981,FAM53B,uc001lhv.1
cg02129005,chr2,86412960,86412961,0.0256707,0.565380812,0.141939902,Mono,0.039863198,0.033728385,0.028154748,0.0256707,0.565380812,0.158841572,II,NA,NA,NA,NA,NA,NA,,OpenSea,IMMT;IMMT;IMMT,,,chr2:86412720-86413050,3,,,Body,14524,IMMT,uc002src.1
cg02133939,chr9,5947912,5947913,0.067436458,0.898320811,0.709576588,NK,0.641207413,0.869487367,0.067436458,0.898320811,0.894884939,0.886122543,II,NA,NA,NA,NA,NA,NA,,OpenSea,KIAA2026,,,chr9:5947860-5948075,3,,,Body,57002,MLANA,uc003zjo.1
cg02171859,chr7,853441,853442,0.538631158,0.822573971,0.627839033,CD4T,0.692815569,0.822573971,0.568073346,0.594157223,0.550782932,0.538631158,II,NA,NA,NA,NA,NA,NA,chr7:855308-856747,N_Shore,,,,chr7:852905-853595,3,,TRUE,Intergenic,1751,SUN1,uc021zyl.1
cg02192218,chr16,28500049,28500050,0.344959175,0.892800542,0.746818931,NK,0.783975535,0.832397694,0.344959175,0.748563048,0.892800542,0.878217594,II,NA,NA,NA,NA,NA,NA,chr16:28502813-28503491,N_Shelf,CLN3;CLN3,,,chr16:28500040-28500250,3,,TRUE,Body,5919,APOBR,uc002dqb.2
cg02203737,chr20,19809171,19809172,0.041335574,0.536414357,0.188267624,Neu,0.136514307,0.170250063,0.049382992,0.195708453,0.041335574,0.536414357,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr20:19808940-19809235,3,,,Intergenic,543930,LOC100130264,uc010zsd.1
cg02212836,chr6,6589075,6589076,0.063505441,0.831563864,0.360926273,Neu,0.388286252,0.285353152,0.442687009,0.063505441,0.154161923,0.831563864,II,NA,NA,NA,NA,NA,NA,,OpenSea,LY86;LOC285780,,,chr6:6589020-6589170,3,TRUE,TRUE,1stExon,140,LY86,uc003mwy.1
cg02219383,chr3,43385111,43385112,0.486532698,0.907252032,0.794317265,CD8T,0.486532698,0.842652239,0.735310348,0.904814282,0.907252032,0.889341991,II,NA,NA,NA,NA,NA,NA,,OpenSea,SNRK;SNRK,,,,,,TRUE,Body,40520,SNRK,uc003cmu.3
cg02244028,chr3,38992200,38992201,0.119635118,0.934918439,0.786103955,Mono,0.934918439,0.927824517,0.916936332,0.93074126,0.119635118,0.886568062,II,NA,NA,NA,NA,NA,NA,,OpenSea,SCN11A,,,chr3:38992145-38992435,3,,TRUE,TSS200,147,SCN11A,uc021wvy.1
cg02324835,chr8,28919075,28919076,0.072088383,0.913601689,0.657633055,CD8T,0.072088383,0.351019664,0.793281558,0.909572016,0.913601689,0.906235023,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr8:28918620-28919315,3,,TRUE,Intergenic,91514,HMBOX1,uc003xhf.3
cg02647842,chr17,33581722,33581723,0.093163883,0.92555304,0.770428593,Mono,0.92555304,0.919367621,0.915020976,0.901387164,0.093163883,0.868078872,II,NA,NA,NA,NA,NA,NA,,OpenSea,SLFN5,,,chr17:33581425-33581735,3,,,5'UTR,60309,SLC35G3,uc002hjd.2
cg02735685,chr12,53924036,53924037,0.129874102,0.918251676,0.77908977,Neu,0.917922386,0.913090269,0.91378442,0.918251676,0.881615763,0.129874102,II,NA,NA,NA,NA,NA,NA,,OpenSea,ATF7;ATF7;ATF7,,chr12:53923951-53923951,,,,,Body,95742,ATF7,uc001sea.4
cg02739893,chr15,44270022,44270023,0.477513443,0.893676408,0.812382889,NK,0.870325202,0.876720349,0.477513443,0.877727885,0.893676408,0.878334048,II,NA,NA,NA,NA,NA,NA,,OpenSea,FRMD5;FRMD5;FRMD5;FRMD5,,,,,,,Body,216620,FRMD5,uc001ztk.1
cg02758236,chr11,128562003,128562004,0.031197611,0.569026028,0.197520198,CD8T,0.569026028,0.304403957,0.198451866,0.050332529,0.031709199,0.031197611,II,rs116162215,0.01086,NA,NA,NA,NA,chr11:128562671-128565011,N_Shore,FLI1,,,chr11:128561745-128564355,3,,TRUE,TSS1500,5572,FLI1,uc010sbt.2
cg02774968,chr1,233041681,233041682,0.274411156,0.757067441,0.432906283,Bcell,0.444813975,0.377548697,0.326975853,0.757067441,0.416620574,0.274411156,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr1:233041460-233041690,3,,,Intergenic,152581,PCNX2,uc001hvk.1
cg02833739,chr13,51102958,51102959,0.064473538,0.924659059,0.753704256,Neu,0.917571013,0.85918614,0.919322445,0.924659059,0.837013338,0.064473538,II,rs73184431,0.013889,NA,NA,NA,NA,,OpenSea,DLEU1-AS1,,,,,,,TSS1500,279031,DLEU7-AS1,uc001vey.3
cg03177171,chr1,33547803,33547804,0.526568769,0.805695468,0.634746661,CD8T,0.805695468,0.685160071,0.599896288,0.619675053,0.571484315,0.526568769,II,NA,NA,NA,NA,NA,NA,chr1:33546524-33547243,S_Shore,AZIN2;AZIN2;AZIN2;AZIN2;AZIN2;AZIN2;AZIN2;AZIN2;AZIN2,,,chr1:33547265-33547995,3,,,5'UTR,99866,TRIM62,uc001bxb.3
cg03184447,chr22,32268167,32268168,0.250945471,0.820204488,0.680926731,NK,0.716445886,0.786529206,0.250945471,0.820204488,0.766805177,0.74463016,II,NA,NA,NA,NA,NA,NA,,OpenSea,DEPDC5;DEPDC5;DEPDC5;DEPDC5;DEPDC5,,,,,,,Body,19264,DEPDC5,uc011aly.2
cg03196485,chr2,87021117,87021118,0.097218024,0.863445824,0.519845237,CD8T,0.097218024,0.358237453,0.597389631,0.863445824,0.654444651,0.548335838,II,rs35739120,0.137192,NA,NA,NA,NA,chr2:87015974-87018182,S_Shelf,CD8A,,chr2:87020980-87020980,chr2:87021000-87021315,3,,TRUE,5'UTR,14400,CD8A,uc002srv.3
cg03224259,chr8,123801550,123801551,0.048260832,0.890821174,0.740049956,Bcell,0.890821174,0.873364352,0.866418296,0.048260832,0.883033068,0.878402017,II,NA,NA,NA,NA,NA,NA,,OpenSea,ZHX2,,chr8:123801301-123801301,,,,,5'UTR,253111,DERL1,uc003ypl.3
cg03261800,chr9,36985761,36985762,0.224051657,0.877137512,0.38536811,Bcell,0.418261599,0.325852189,0.224051657,0.877137512,0.229328548,0.237577155,II,NA,NA,NA,NA,NA,NA,chr9:36985986-36986924,N_Shore,PAX5,,,chr9:36984845-36986515,3,,TRUE,Body,94130,EBLN3P,uc003zzp.2
cg03377878,chr3,13062585,13062586,0.059767241,0.934705997,0.782504532,Bcell,0.934705997,0.925177759,0.932780391,0.059767241,0.927614455,0.91498135,II,NA,NA,NA,NA,NA,NA,,OpenSea,IQSEC1,,chr3:13062449-13062449,,,,,Body,52030,IQSEC1,uc011auw.2
cg03404662,chr9,114937740,114937741,0.044724902,0.43435169,0.133127213,CD4T,0.165321494,0.43435169,0.052339097,0.055866146,0.046159952,0.044724902,II,NA,NA,NA,NA,NA,NA,chr9:114937020-114937824,Island,SUSD1,,,chr9:114937225-114938515,3,,TRUE,TSS200,183,SUSD1,uc004bfu.3
cg03533256,chr17,72620088,72620089,0.060873954,0.852299506,0.661997023,Mono,0.764915324,0.774842501,0.852299506,0.848254803,0.060873954,0.670796051,II,NA,NA,NA,NA,NA,NA,,OpenSea,CD300E,,,chr17:72619920-72620175,3,,TRUE,TSS1500,39030,C17orf77,uc002jla.1
cg03541835,chr10,85956013,85956014,0.08449086,0.342627567,0.183200885,CD8T,0.342627567,0.221196081,0.214154778,0.143901903,0.092834122,0.08449086,II,rs4933972,0.292237,NA,NA,NA,NA,chr10:85954199-85955303,S_Shore,PCDH21,,,chr10:85955765-85956235,3,,TRUE,Body,1600,CDHR1,uc001kcv.3
cg03699843,chr16,50701064,50701065,0.080942943,0.582459981,0.191023064,Bcell,0.130293843,0.170235254,0.096624192,0.582459981,0.080942943,0.085582174,II,NA,NA,NA,NA,NA,NA,,OpenSea,SNX20;SNX20,,,chr16:50700700-50701470,3,,TRUE,3'UTR,118822,NKD1,uc002egg.2
cg03722295,chr19,10519375,10519376,0.080910706,0.775245832,0.292043078,Neu,0.143683407,0.111943989,0.080910706,0.394550855,0.24592368,0.775245832,II,rs17697965,0.000208,NA,NA,NA,NA,chr19:10513990-10515616,S_Shelf,,,,chr19:10519320-10519515,3,,TRUE,Intergenic,5103,CDC37,uc002mof.1
cg03800712,chr22,26975222,26975223,0.045214674,0.278504494,0.104473913,CD4T,0.112168694,0.278504494,0.061298347,0.084410204,0.045247066,0.045214674,II,NA,NA,NA,NA,NA,NA,,OpenSea,TPST2,,,,,,,5'UTR,10865,TPST2,uc003acx.3
cg03815480,chr16,48492439,48492440,0.042141092,0.675500575,0.239934095,Neu,0.240628669,0.19489816,0.054934379,0.231501698,0.042141092,0.675500575,II,NA,NA,NA,NA,NA,NA,,OpenSea,MIR5095,,,chr16:48492325-48492575,3,,,Body,151679,N4BP1,uc002efp.3
cg03860768,chr8,11351571,11351572,0.034310869,0.934134518,0.760514561,Bcell,0.876697774,0.894751735,0.909514736,0.034310869,0.934134518,0.913677733,II,NA,NA,NA,NA,NA,NA,,OpenSea,BLK;BLK,,,,,TRUE,TRUE,5'UTR,49,BLK,uc003wtx.3
cg03865101,chr12,1883663,1883664,0.040116283,0.914351769,0.732963154,Neu,0.914351769,0.908805994,0.776291362,0.871864911,0.886348607,0.040116283,II,rs11614639,0.481495,NA,NA,NA,NA,,OpenSea,ADIPOR2,,,chr12:1883485-1883735,3,,,Body,37224,CACNA2D4,uc021qsy.1
cg03881776,chr5,945838,945839,0.456548739,0.892338183,0.806392354,NK,0.879235357,0.863899132,0.456548739,0.892338183,0.882388097,0.863944617,II,rs111232453,0.012809,NA,NA,NA,NA,,OpenSea,,,,chr5:945225-946075,3,,,Intergenic,52868,TRIP13,uc010ite.2
cg03903882,chr9,115915314,115915315,0.142756084,0.89822419,0.75466758,Neu,0.89822419,0.882462971,0.882891695,0.885088057,0.836582485,0.142756084,II,NA,NA,NA,NA,NA,NA,chr9:115913081-115913807,S_Shore,SLC31A2,,chr9:115914968-115914968,chr9:115915025-115915335,3,,,Body,31363,FKBP15,uc004bgr.2
cg03918239,chr15,28436906,28436907,0.065689722,0.944173229,0.698678917,NK,0.670355709,0.761338929,0.065689722,0.944173229,0.915298703,0.835217212,II,NA,NA,NA,NA,NA,NA,,OpenSea,HERC2,,,,,,,Body,12174,HERC2,uc001zbk.1
cg03956353,chr1,110306642,110306643,0.37914304,0.90253065,0.80073343,NK,0.880384448,0.862993345,0.37914304,0.90253065,0.886156085,0.893193014,II,rs115151719,0.017376,NA,NA,NA,NA,,OpenSea,EPS8L3;EPS8L3;EPS8L3,,,chr1:110306325-110306915,3,,TRUE,TSS200,0,EPS8L3,uc001dyq.2
cg04009588,chr9,35619585,35619586,0.056779547,0.458481274,0.162916606,CD4T,0.161431427,0.458481274,0.063507405,0.056779547,0.100247911,0.137052072,II,NA,NA,NA,NA,NA,NA,chr9:35616980-35617324,S_Shelf,CD72,,,chr9:35619205-35620135,3,,,TSS1500,27267,CD72,uc010mkw.1
cg04081928,chr9,135853940,135853941,0.023282376,0.373383403,0.109810789,NK,0.114302669,0.081932694,0.373383403,0.038863867,0.027099728,0.023282376,II,rs74866944,0.011295,NA,NA,NA,NA,,OpenSea,GFI1B;GFI1B,,,,,,,TSS200,45,GFI1B,uc004ccg.3
cg04087102,chr1,44004704,44004705,0.396671707,0.847369575,0.748267029,CD8T,0.396671707,0.762608903,0.813774567,0.828519691,0.847369575,0.840657732,II,NA,NA,NA,NA,NA,NA,,OpenSea,PTPRF;PTPRF,,,chr1:44004660-44004935,3,,,5'UTR,834,PTPRF,uc001cjt.4
cg04087681,chr9,108640112,108640113,0.049997543,0.893495298,0.73419386,Bcell,0.866133187,0.867078377,0.861343944,0.049997543,0.867114813,0.893495298,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr9:108640045-108640375,3,,,Intergenic,183305,TMEM38B,uc004bcu.2
